"ID","AGE","EDUC","DEGREE","SEX","RACE","BIBLE1"
1377,54,12,1,1,1,"."
1378,41,13,1,1,1,"3"
1379,24,16,3,1,1,"."
1380,33,16,3,2,1,"."
1381,27,13,1,1,1,"3"
1382,70,11,0,2,2,"."
1385,49,12,1,2,1,"."
1386,33,11,1,1,1,"."
1387,29,11,0,2,1,"."
1388,37,12,1,1,2,"."
1389,57,13,1,2,1,"2"
1391,20,14,1,2,1,"2"
1392,41,10,0,2,1,"1"
1394,72,12,1,2,1,"2"
1396,40,12,1,2,1,"3"
1397,20,13,1,1,1,"2"
1398,24,14,1,2,1,"."
1399,54,14,1,1,2,"."
1400,64,12,1,1,1,"3"
1402,46,16,3,2,1,"2"
1403,40,16,3,2,1,"."
1404,42,13,1,1,1,"1"
1405,45,19,4,2,1,"."
1406,28,16,3,2,1,"."
1407,75,12,1,2,1,"."
1408,64,20,4,2,1,"."
1409,31,16,3,2,1,"."
1410,35,15,2,2,2,"1"
1411,65,12,1,1,1,"2"
1412,66,12,1,1,1,"."
1413,30,16,3,1,1,"."
1414,89,12,1,2,1,"1"
1416,29,19,3,1,1,"."
1417,19,11,0,2,2,"."
1418,60,12,1,2,1,"."
1421,34,9,0,2,1,"."
1422,22,15,1,2,1,"2"
1424,23,12,1,2,1,"2"
1425,55,12,0,1,1,"."
1426,42,9,0,2,1,"1"
1427,78,12,1,1,1,"2"
1428,49,12,1,1,1,"."
1429,27,12,1,1,1,"."
1430,63,15,2,2,1,"."
1431,50,20,4,1,1,"."
1432,35,12,1,2,1,"."
1433,28,18,3,2,1,"3"
1434,70,12,1,1,1,"."
1435,67,14,3,2,1,"2"
1436,25,15,1,1,1,"2"
1437,43,12,1,2,1,"."
1438,30,16,3,1,1,"."
1439,65,11,1,2,1,"."
1440,50,16,3,2,1,"1"
1441,52,12,1,2,1,"."
1442,65,12,1,1,1,"."
1443,81,11,0,2,1,"."
1444,18,10,0,1,1,"."
1445,28,11,0,2,1,"."
1447,38,14,1,1,1,"2"
1448,28,12,1,2,1,"."
1449,77,12,1,1,1,"2"
1450,82,13,1,2,1,"2"
1451,23,16,1,1,1,"."
1452,24,16,3,2,1,"."
1453,72,15,1,2,1,"."
1454,19,13,1,2,1,"2"
1455,29,15,2,1,1,"2"
1457,61,11,0,1,1,"."
1459,20,13,1,2,1,"2"
1464,38,18,4,2,1,"."
1465,19,9,1,2,2,"."
1466,32,17,3,1,1,"."
1467,61,12,1,2,1,"1"
1468,54,17,2,2,2,"."
1469,66,17,4,1,2,"2"
1470,25,12,1,2,1,"."
1472,24,13,1,2,1,"3"
1473,30,14,2,2,2,"2"
1474,57,14,1,2,1,"2"
1475,23,16,1,2,1,"."
1476,74,12,1,1,2,"."
1477,39,9,0,1,1,"."
1478,57,16,3,2,1,"2"
1480,46,14,1,1,2,"."
1481,57,12,1,2,2,"."
1482,24,12,1,1,2,"1"
1483,34,15,1,2,2,"."
1484,40,12,1,2,2,"2"
1485,57,7,0,2,2,"1"
1487,38,12,1,2,2,"1"
1488,26,3,0,1,3,"1"
1489,68,17,4,1,1,"4"
1490,57,20,4,1,1,"3"
1491,52,16,3,1,1,"2"
1492,60,12,1,2,1,"."
1493,43,14,2,2,1,"."
1494,40,16,3,1,1,"."
1495,70,12,1,1,1,"."
1496,79,11,1,2,1,"."
1497,57,19,4,1,1,"3"
1498,37,12,1,2,1,"2"
1499,56,14,2,2,1,"2"
1500,48,13,0,1,1,"."
1501,73,16,3,1,1,"1"
1502,50,18,3,2,1,"2"
1503,56,20,4,1,1,"2"
1504,79,14,1,2,1,"2"
1505,21,12,1,2,1,"."
1506,60,16,3,1,1,"."
1507,21,12,1,2,1,"."
1508,44,18,4,1,1,"3"
1509,68,11,0,2,1,"."
1510,39,12,1,2,1,"."
1512,70,12,1,2,1,"2"
1513,34,12,1,2,1,"2"
1514,67,12,1,1,1,"2"
1515,52,12,1,1,1,"2"
1516,89,8,0,2,1,"."
1517,55,13,1,2,1,"."
1518,64,13,1,2,1,"."
1519,75,0,0,1,1,"3"
1520,59,12,1,2,1,"1"
1521,62,13,1,2,1,"2"
1522,47,20,3,1,1,"3"
1523,32,12,1,2,1,"."
1524,36,12,1,2,1,"."
1525,80,15,1,1,1,"."
1526,87,14,1,1,1,"."
1528,71,12,1,2,1,"."
1529,57,14,1,2,1,"."
1530,67,14,1,1,1,"1"
1531,21,14,1,2,1,"."
1532,35,13,1,2,1,"2"
1533,58,12,1,2,1,"2"
1534,35,13,1,1,1,"2"
1535,22,12,1,1,1,"2"
1536,59,13,1,1,1,"1"
1537,38,9,0,2,1,"."
1538,83,13,1,1,1,"1"
1539,25,14,2,1,2,"."
1541,73,10,1,2,3,"."
1542,44,9,0,1,1,"."
1543,59,14,1,1,1,"."
1544,53,16,3,1,1,"1"
1545,68,11,0,2,2,"1"
1546,31,11,1,2,2,"1"
1547,32,20,4,1,2,"."
1548,52,13,1,1,2,"."
1549,63,12,1,1,2,"1"
1551,47,11,0,1,2,"."
1552,79,8,0,2,2,"1"
1553,86,11,0,2,2,"."
1554,45,10,0,2,2,"."
1555,82,14,1,2,2,"1"
1556,29,15,1,2,2,"1"
1558,43,9,0,1,2,"."
1559,30,16,2,2,2,"."
1560,38,10,0,2,2,"1"
1561,50,8,0,1,2,"."
1562,75,20,4,1,1,"."
1563,44,16,3,2,1,"2"
1564,55,13,1,2,2,"1"
1565,36,14,2,2,2,"."
1567,26,13,1,2,2,"."
1568,39,14,1,1,1,"2"
1569,34,16,1,1,1,"."
1570,72,2,0,2,1,"2"
1571,50,20,4,1,1,"1"
1572,79,10,1,1,1,"2"
1574,50,14,2,2,1,"."
1575,20,11,1,1,1,"."
1576,40,12,1,2,2,"2"
1577,51,16,3,1,1,"3"
1578,26,12,1,2,2,"."
1579,29,20,4,2,2,"2"
1580,29,15,2,2,1,"3"
1581,51,12,1,1,1,"."
1583,64,12,1,2,1,"."
1584,58,17,3,1,1,"3"
1585,26,16,3,2,3,"."
1586,50,11,0,1,1,"2"
1587,81,11,0,2,1,"."
1588,83,14,1,1,1,"."
1589,65,5,0,2,1,"2"
1590,25,12,1,2,1,"."
1591,45,14,1,2,1,"."
1592,48,14,1,1,1,"."
1593,28,12,0,2,1,"3"
